"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:isOrWasMainThingRepresentedByContentOfSomeMembersOf","is or was main thing represented by content of some members of","est ou a été la chose principale représentée par le contenu de certains membres de","es o era lo principal representado por el contenido de algunos miembros de","Inverse of 'has or had some members whose content mainly represents' object property.","","","isOrWasMainSubjectOfSomeMembersOf; isOrWasRepresentedByContentOfSomeMembersOf","Thing","RecordSet","hasOrHadSomeMembersWhoseContentMainlyRepresents","","","2025-04-06 : Introduced in RiC-O 1.1."
"rico:isOrWasManagerOf","is or was manager of","est ou a été le gestionnaire de","es o era gestor de","Connects an Agent to a Record Resource or Instantiation that the Agent managed or manages.","","RiC-R038 ('is or was manager of' relation)","hasOrHadAuthorityOver","Agent","Instantiation ; RecordResource","hasOrHadManager","","thingIsSourceOfRelation/managementRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new managementRelation_role object property."
"rico:isOrWasMandateTypeOf","is or was mandate type of","est ou a été le type de mandat de","es o era tipo de norma de","Connects a Mandate Type to a Mandate that it categorized or categorizes.","","","isOrWasRuleTypeOf","MandateType","Mandate","hasOrHadMandateType","","","2023-11-13 : Added the property, and its inverse one, following the creation of the MandateType class, that corresponds to the new Mandate Type attribute in RiC-CM 1.0. | 2024-03-15 : Make capitalisation of rdfs:comment consistent."
"rico:isOrWasMemberOf","is or was member of","est ou a été membre de","es o era miembro de","Inverse of 'has or had member' object property.","","RiC-R055i ('is or was member of' relation)","isAgentAssociatedWithAgent","Person","Group","hasOrHadMember","","thingIsTargetOfRelation/membershipRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new membershipRelation_role object property."
"rico:isOrWasNameOf","is or was name of","est ou a été le nom de","es o era nombre de","Connects a Name to a Thing that it designated or designates.","","","isOrWasAppellationOf","Name","Thing","hasOrHadName","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasOccupationTypeOf","is or was occupation type of","est ou a été le type d’occupation de","es o era tipo de ocupación de","Connects an Occupation Type to a Person whose occupation is or was categorized by it.","","","isOrWasDemographicGroupOf","OccupationType","Person","hasOrHadOccupationOfType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasOccupiedBy","is or was occupied by","est ou a été occupé par","está o estaba ocupado por","Inverse of 'occupies or occupied' object property.","","RiC-R054i ('is or was occupied by' relation)","isAgentAssociatedWithAgent","Position","Person","occupiesOrOccupied","","thingIsTargetOfRelation/positionHoldingRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new positionHoldingRelation_role object property."
"rico:isOrWasOwnerOf","is or was owner of","est ou a été propriétaire de","es o era poseedor(a) de","Connects a Group, Person or Position to a Thing that this Agent owns or owned.","","RiC-R037 ('is or was owner of' relation)","hasOrHadAuthorityOver","Group ; Person ; Position","Thing","hasOrHadOwner","","thingIsSourceOfRelation/ownershipRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new ownershipRelation_role object property."
"rico:isOrWasPartOf","is or was part of","est ou a été une partie de","es o era parte de","Inverse of 'has or had part' relation.","","RiC-R002i ('is or was part of' relation)","isRelatedTo","Thing","Thing","hasOrHadPart","","thingIsTargetOfRelation/wholePartRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new wholePartRelation_role object property."
"rico:isOrWasParticipantIn","is or was participant in","participe ou a participé à","es o era participante de","Inverse of 'has or had participant' object property.","","RiC-R058i ('is or was participant in' relation)","isAssociatedWithEvent","Thing","Event","hasOrHadParticipant","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasPerformedBy","is or was performed by","est ou a été réalisée par","es o fue desarrollado por","Connects an Activity to an Agent that performed or performs the Activity.","","RiC-R060 ('is or was performed by' relation)","hasOrHadParticipant","Activity","Agent","performsOrPerformed","","thingIsSourceOfRelation/performanceRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new performanceRelation_role object property."
"rico:isOrWasPhysicalLocationOf","is or was physical location of","a ou a été la localisation physique de","es o era localización física de","Connects a Physical Location to a Place, when it is or was its location.","","","isAssociatedWithPlace","PhysicalLocation","Place","hasOrHadPhysicalLocation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasPlaceNameOf","is or was place name of","a ou a été le nom de lieu de","es o era nombre de lugar de","Connects a Place Name to a Place that was or is designated by it.","","","isOrWasNameOf","PlaceName","Place","hasOrHadPlaceName","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasPlaceTypeOf","is or was place type of","a ou a été le type de lieu de","es o era tipo de lugar de","Connects a Place Type to a Place that is or was categorized by it.","","","isOrWasTypeOf","PlaceType","Place","hasOrHadPlaceType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasRecordStateOfAllMembersOf","is or was record state of all members of","a ou a été l’état de tous les membres de","es o era estado de documento de todos los miembros de","Connects a Record State and a Record Set whose all past or present Record or Record Part members have that Record State.","","","isOrWasTypeOfAllMembersOf","RecordState","RecordSet","hasOrHadAllMembersWithRecordState","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasRecordStateOfSomeMembersOf","is or was record state of some members of","a ou a été l’état de certains membres de","es o era estado de documento de algunos miembros de","Connects a Record State and a Record Set whose some past or present Record or Record Part members have that Record State.","","","isOrWasTypeOfSomeMembersOf","RecordState","RecordSet","hasOrHadSomeMembersWithRecordState","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasRegulatedBy","is or was regulated by","est ou a été régulé par","está o estaba regulado por","Inverse of 'regulates or regulated' object property.","","RiC-R063i ('is or was regulated by' relation)","isAssociatedWithRule","Thing","Rule","regulatesOrRegulated","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasRepresentedByContentOfSomeMembersOf","is or was represented by content of some members of","est ou a été représenté par le contenu de certains membres de","es o era representado por el contenido de algunos miembros de","Inverse of 'has or had some members whose content represents' object property.","","","isOrWasSubjectOfSomeMembersOf","Thing","RecordSet","hasOrHadSomeMembersWhoseContentRepresents","","","2025-04-05 : Introduced in RiC-O 1.1."
"rico:isOrWasResponsibleForEnforcing","is or was responsible for enforcing","impose ou a imposé","es o era responsable de aplicar","Inverse of 'is or was enforced by' object property.","","RiC-R066i ('is or was responsible for enforcing' relation)","isAssociatedWithRule","Agent","Rule","isOrWasEnforcedBy","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2024-09-02 : Fixed the French label."
"rico:isOrWasRuleTypeOf","is or was rule type of","est ou a été le type de règle de","es o era tipo de regla de","Connects a Rule Type to a Rule that it categorized or categorizes.","","","isOrWasTypeOf","RuleType","Rule","hasOrHadRuleType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2024-03-15 : Make capitalisation of rdfs:comment consistent."
"rico:isOrWasSubdivisionOf","is or was subdivision of","est ou a été une subdivision de","es o era subdivisión de","Inverse of 'has or had subdivision' object property.","","RiC-R005i ('is or was subdivision' relation)","isOrWasPartOf; isOrWasSubordinateTo","Group","Group","hasOrHadSubdivision","","thingIsTargetOfRelation/groupSubdivisionRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new groupSubdivisionRelation_role object property."
"rico:isOrWasSubeventOf","is or was subevent of","est ou a été un événement constituant de","es o era parte de evento de","Inverse of 'has or had subevent' object property.","","RiC-R006i ('is or was subevent of' relation)","isAssociatedWithEvent; isEventAssociatedWith; isOrWasPartOf","Event","Event","hasOrHadSubevent","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasSubjectOf","is or was subject of","est ou a été le sujet de","es o era materia de","Inverse of 'has or had subject' object property.","","RIc-R019i ('is or was subject of' relation)","isRelatedTo","Thing","RecordResource","hasOrHadSubject","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasSubjectOfAllMembersOf","is or was subject of all members of","est ou a été le sujet de tous les membres de","es o era la matería de todos los miembros de","Inverse of 'has or had all members with subject' object property.","","","isOrWasSubjectOf","Thing","RecordSet","hasOrHadAllMembersWithSubject","","","2025-04-05 : Introduced in RiC-O 1.1."
