"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:descendanceRelation_role","has the role of the Descendance Relation","a le rôle de la Relation de descendance","desempeña el papel de la Relación de descendencia","Connects a DescendanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the DescendanceRelation class. It should be used only when you have to manage instances of the DescendanceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","agentTemporalRelation_role; familyRelation_role","DescendanceRelation","DescendanceRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the DescendanceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:describesOrDescribed","describes or described","décrit ou a décrit","describe o describía","Connects a Record Resource to a Thing that it describes or described.","Can be used, among other situations, for specifying that some finding aid (a Record that has Documentary Form Type Finding Aid) describes some Record Set.","RiC-R021 ('describes or described' relation)","hasOrHadSubject","RecordResource","Thing","isOrWasDescribedBy","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:directlyContains","contains directly","contient directement","contiene directamente","Connects a Place to another Place that it directly contains.","","","containsTransitive; hasDirectPart","Place","Place","isDirectlyContainedBy","","","2023-09-05 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between places (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:directlyFollowsInSequence","directly follows in sequence","suit directement dans la séquence","sigue directamente en la secuencia","Inverse of 'directly precedes in sequence' object property.","","","followsInSequenceTransitive","Thing","Thing","directlyPrecedesInSequence","","hasProxy/proxyDirectlyFollowsInSequence","2023-09-08 : Added transitive super-property and both present direct and past sequential relations as well as their respective inverse relations. | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from followsInTime. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-03-04 : Tweaked the rdfs:comment to simply refer to its inverse property. Also added a property chain axiom relating it to use of rico:Proxy. | 2025-04-02 : Fixed the property chain axiom."
"rico:directlyFollowsProxyInSequence","directly follows proxy in sequence","suit directement le proxy dans la séquence","sigue directamente el proxy en la secuencia","Inverse of 'proxy directly precedes in sequence' object property.","","","directlyFollowsInSequence; followsProxyInSequence","RecordResource","Proxy","proxyDirectlyPrecedesInSequence","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:directlyIncludes","directly includes","inclut directement","incluye directamente","Connects a Record Set to a Record or Record Set which it includes directly.","","","hasDirectPart; includesTransitive","RecordSet","Record ; RecordSet","isDirectlyIncludedIn","","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between Record Sets and their members (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the labels, description (rdfs:comment). | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:directlyIncludesProxy","directly includes proxy","inclut directement le proxy","incluye directamente el proxy","Inverse of 'proxy is directly included in' object property.","","","hasDirectPart; includesProxy","RecordSet","Proxy","proxyIsDirectlyIncludedIn","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:directlyPrecedesInSequence","directly precedes in sequence","précède directement dans la séquence","precede directamente en la secuencia","Connects a Thing to a Thing that it precedes directly in some sequence (not necessarily defined or characterised chronologically).","","","precedesInSequenceTransitive","Thing","Thing","directlyFollowsInSequence","","directlyPrecedesProxyInSequence/proxyFor","2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, sequential relations between things (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from precedesInTime. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-03-04 : Tweaked the rdfs:comment to try to clarify what is meant. Also added a property chain axiom relating it to use of rico:Proxy."
"rico:directlyPrecedesProxyInSequence","directly precedes proxy in sequence","précède directement le proxy dans la séquence","precede directamente el proxy en la secuencia","Connects a Record Resource to a Proxy of a Record Resource that it precedes directly in some sequence (not necessarily defined or characterised chronologically).","","","directlyPrecedesInSequence; precedesProxyInSequence","RecordResource","Proxy","proxyDirectlyFollowsInSequence","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:documentedBy","documented by","est documenté par","se documenta en","Inverse of 'documents' object property.","","RiC-R033i ('documented by' relation)","isOrganicOrFunctionalProvenanceOf; resultsOrResultedIn","Activity","Instantiation ; RecordResource","documents","","thingIsTargetOfRelation/activityDocumentationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Made this property a subproperty of the new isOrganicOrFunctionalProvenanceOf property. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new activityDocumentationRelation_role object property."
